BTS_BK_DZ274_BK_KVAr,BUONKUOP.MFI.BTS_BK_DZ274_BK_KVAr,0.001
BTS_BK_DZ274_BK_IA,BUONKUOP.MFI.BTS_BK_DZ274_BK_IA,1
BTS_BK_DZ274_BK_IB,BUONKUOP.MFI.BTS_BK_DZ274_BK_IB,1
BTS_BK_DZ274_BK_IC,BUONKUOP.MFI.BTS_BK_DZ274_BK_IC,1
BTS_BK_DZ274_BK_UAB,BUONKUOP.MFI.BTS_BK_DZ274_BK_UAB,1
BTS_BK_DZ274_BK_UBC,BUONKUOP.MFI.BTS_BK_DZ274_BK_UBC,1
BTS_BK_DZ274_BK_UCA,BUONKUOP.MFI.BTS_BK_DZ274_BK_UCA,1
H1_Device1_KW,BUONKUOP.MFI.H1_Device1_KW,0.001
H1_Device1_KVAr,BUONKUOP.MFI.H1_Device1_KVAr,0.001
H2_Device1_KW,BUONKUOP.MFI.H2_Device1_KW,0.001
H2_Device1_KVAr,BUONKUOP.MFI.H2_Device1_KVAr,0.001
INTAKE_Device1_Reservoi,BUONKUOP.MFI.INTAKE_Device1_Reservoi,0.001
INTAKE_Device1_Reservoi_,BUONKUOP.MFI.INTAKE_Device1_Reservoi_,1
INTAKE_Device1_Rack1,BUONKUOP.MFI.INTAKE_Device1_Rack1,1
INTAKE_Device1_Rack2,BUONKUOP.MFI.INTAKE_Device1_Rack2,1
INTAKE_Device1_tailrace,BUONKUOP.MFI.INTAKE_Device1_tailrace,0.001
INTAKE_Device1_tailrace_,BUONKUOP.MFI.INTAKE_Device1_tailrace_,1
BTS_DT_HMI_OP1,BUONKUOP.MFI.BTS_DT_HMI_OP1,1
BTS_DT_HMI_OP2,BUONKUOP.MFI.BTS_DT_HMI_OP2,1
BTS_DT_HMI_OP3,BUONKUOP.MFI.BTS_DT_HMI_OP3,1
SWY_SP4_SP4_KW,BUONKUOP.MFI.SWY_SP4_SP4_KW,0.001
SWY_SP4_SP4_KVAr,BUONKUOP.MFI.SWY_SP4_SP4_KVAr,0.001
SWY_SP4_SP4_IA,BUONKUOP.MFI.SWY_SP4_SP4_IA,1
SWY_SP4_SP4_IB,BUONKUOP.MFI.SWY_SP4_SP4_IB,1
SWY_SP4_SP4_IC,BUONKUOP.MFI.SWY_SP4_SP4_IC,1
SWY_SP4_SP4_UAB,BUONKUOP.MFI.SWY_SP4_SP4_UAB,1
SWY_SP4_SP4_UBC,BUONKUOP.MFI.SWY_SP4_SP4_UBC,1
SWY_SP4_SP4_UCA,BUONKUOP.MFI.SWY_SP4_SP4_UCA,1
SWY_BK_BK_KW,BUONKUOP.MFI.SWY_BK_BK_KW,0.001
SWY_BK_BK_KVAr,BUONKUOP.MFI.SWY_BK_BK_KVAr,0.001
SWY_BK_BK_IA,BUONKUOP.MFI.SWY_BK_BK_IA,1
SWY_BK_BK_IB,BUONKUOP.MFI.SWY_BK_BK_IB,1
SWY_BK_BK_IC,BUONKUOP.MFI.SWY_BK_BK_IC,1
SWY_BK_BK_UAB,BUONKUOP.MFI.SWY_BK_BK_UAB,1
SWY_BK_BK_UBC,BUONKUOP.MFI.SWY_BK_BK_UBC,1
SWY_BK_BK_UCA,BUONKUOP.MFI.SWY_BK_BK_UCA,1
SP3_H1_H1_H1_KW,BUONKUOP.MFI.SP3_H1_H1_H1_KW,0.001
SP3_H1_H1_H1_KVAr,BUONKUOP.MFI.SP3_H1_H1_H1_KVAr,0.001
SP3_H2_H2_H2_KW,BUONKUOP.MFI.SP3_H2_H2_H2_KW,0.001
SP3_H2_H2_H2_KVAr,BUONKUOP.MFI.SP3_H2_H2_H2_KVAr,0.001
SP3_INTAKE_SPILLWAY_RESERVISOR,BUONKUOP.MFI.SP3_INTAKE_SPILLWAY_RESERVISOR,0.001
SP3_INTAKE_SPILLWAY_RACK1,BUONKUOP.MFI.SP3_INTAKE_SPILLWAY_RACK1,0.001
SP3_INTAKE_SPILLWAY_RACK2,BUONKUOP.MFI.SP3_INTAKE_SPILLWAY_RACK2,0.001
SP3_INTAKE_SPILLWAY_TAILRACE,BUONKUOP.MFI.SP3_INTAKE_SPILLWAY_TAILRACE,0.001
BK_Spillway_WLReser_OP1,BUONKUOP.MFI.BK_Spillway_WLReser_OP1,1
BK_Spillway_WLReser_OP2,BUONKUOP.MFI.BK_Spillway_WLReser_OP2,1
BK_Spillway_WLReser_OP3,BUONKUOP.MFI.BK_Spillway_WLReser_OP3,1
BK_Spillway_WLReser_OP4,BUONKUOP.MFI.BK_Spillway_WLReser_OP4,1
BK_Spillway_WLReser_OP5,BUONKUOP.MFI.BK_Spillway_WLReser_OP5,1
MONGDUONG1_571_U,MONGDUONG1.MFI.MONGDUONG1_571_U,1
MONGDUONG1_571_I,MONGDUONG1.MFI.MONGDUONG1_571_I,1
MONGDUONG1_571_P,MONGDUONG1.MFI.MONGDUONG1_571_P,1
MONGDUONG1_571_Q,MONGDUONG1.MFI.MONGDUONG1_571_Q,1
MONGDUONG1_573_U,MONGDUONG1.MFI.MONGDUONG1_573_U,1
MONGDUONG1_573_I,MONGDUONG1.MFI.MONGDUONG1_573_I,1
MONGDUONG1_573_P,MONGDUONG1.MFI.MONGDUONG1_573_P,1
MONGDUONG1_573_Q,MONGDUONG1.MFI.MONGDUONG1_573_Q,1
MONGDUONG1_C51_U,MONGDUONG1.MFI.MONGDUONG1_C51_U,1
MONGDUONG1_C51_F,MONGDUONG1.MFI.MONGDUONG1_C51_F,1
MONGDUONG1_C52_U,MONGDUONG1.MFI.MONGDUONG1_C52_U,1
MONGDUONG1_C52_F,MONGDUONG1.MFI.MONGDUONG1_C52_F,1
MONGDUONG1_131_U,MONGDUONG1.MFI.MONGDUONG1_131_U,1
MONGDUONG1_131_I,MONGDUONG1.MFI.MONGDUONG1_131_I,1
MONGDUONG1_131_P,MONGDUONG1.MFI.MONGDUONG1_131_P,1
MONGDUONG1_131_Q,MONGDUONG1.MFI.MONGDUONG1_131_Q,1
MONGDUONG1_112_I,MONGDUONG1.MFI.MONGDUONG1_112_I,1
MONGDUONG1_171_U,MONGDUONG1.MFI.MONGDUONG1_171_U,1
MONGDUONG1_171_I,MONGDUONG1.MFI.MONGDUONG1_171_I,1
MONGDUONG1_171_P,MONGDUONG1.MFI.MONGDUONG1_171_P,1
MONGDUONG1_171_Q,MONGDUONG1.MFI.MONGDUONG1_171_Q,1
MONGDUONG1_172_U,MONGDUONG1.MFI.MONGDUONG1_172_U,1
